name,latitude,longitude,address
Heyma Yemeni Coffee,37.8690804,-122.2908889,"1122 University Ave, Berkeley"
Heyma Yemeni Coffee,37.7742539,-122.4125269,"248 9th St, San Francisco"
Haraz Coffee House,37.7881056,-122.4234380,"1452 Franklin St, San Francisco"
Finjan Qahwa,37.7460110,-122.4198708,"3188 Mission St, San Francisco"
Delah Coffee,37.7810165,-122.4002244,"370 4th St, San Francisco"
Delah Coffee,37.7946518,-122.4011390,"450 Sansome St, San Francisco"
Sana'a Cafe,37.7865419,-122.3992419,"199 New Montgomery St, San Francisco"
Sana'a Cafe,37.8004130,-122.2739177,"801 Broadway, Oakland"
Sana'a Cafe,37.8345923,-122.2627309,"4770 Telegraph Ave, Oakland"
Sana'a Cafe,37.7299362,-122.1942411,"185 98th Ave, Oakland"
Delah Coffee,37.8117830,-122.2671992,"420 W Grand Ave, Oakland"
Mohka House,37.8003573,-122.2165706,"2139 MacArthur Blvd, Oakland"
Qahwa Time,37.8649863,-122.2679143,"2440 Shattuck Ave, Berkeley"
Milyar Coffee,37.8485786,-122.2718943,"3300 Adeline St, Berkeley"
Sana'a Cafe,37.9733792,-122.5293509,"1146 4th St, San Rafael"
Qamaria Yemeni Coffee Co.,37.6996289,-121.9034303,"5901 Owens Dr, Pleasanton"
Qamaria Yemeni Coffee Co.,37.4908245,-121.9503385,"4193 Cushing Pkwy, Fremont"
Arwa Yemeni Coffee,37.4037642,-122.0095006,"605 Tasman Dr, Sunnyvale"
Milyar Cafe,37.3492695,-121.9487756,"1098 Monroe St, Santa Clara"
Sana'a Cafe,37.3877582,-122.0830367,"650 Castro St, Mountain View"
